,Theta,Height,Pressure,Density
54,200.0,2117.6470588235297,68247.44884098327,1.3261065152444458
55,200.0,2156.8627450980393,67738.64766278135,1.319037224643244
56,200.0,2196.078431372549,67232.56172362632,1.3119905935939593
57,200.0,2235.294117647059,66729.1823109222,1.30496659783416
58,200.0,2274.5098039215686,66228.50072141195,1.2979652130753796
59,200.0,2313.7254901960787,65730.50826118747,1.2909864150030332
60,200.0,2352.9411764705883,65235.19624569962,1.2840301792763327
61,200.0,2392.1568627450984,64742.555999768396,1.2770964815282022
62,200.0,2431.372549019608,64252.57885759302,1.2701852973651935
63,200.0,2470.588235294118,63765.2561627621,1.2632966023673984
64,200.0,2509.8039215686276,63280.57926826385,1.2564303720883645
65,200.0,2549.0196078431372,62798.539536496275,1.249586582055007
66,200.0,2588.2352941176473,62319.12833927747,1.2427652077675215
67,200.0,2627.450980392157,61842.33705785591,1.2359662246992973
68,200.0,2666.666666666667,61368.15708292077,1.229189608296828
69,200.0,2705.8823529411766,60896.579814612305,1.2224353339796246
70,200.0,2745.0980392156866,60427.5966625322,1.215703377140123
71,200.0,2784.3137254901962,59961.1990457541,1.2089937131435993
72,200.0,2823.5294117647063,59497.37839283396,1.2023063173280748
73,200.0,2862.745098039216,59036.126141820634,1.195641165004228
74,200.0,2901.9607843137255,58577.43374026636,1.1889982314553034
75,200.0,2941.1764705882356,58121.292645237365,1.1823774919370182
76,200.0,2980.392156862745,57667.69432332446,1.175778921677473
77,200.0,3019.6078431372553,57216.630250653674,1.1692024958770553
78,200.0,3058.823529411765,56768.091912896954,1.1626481897083498
79,200.0,3098.039215686275,56322.07080528285,1.1561159783160426
80,200.0,3137.2549019607845,55878.55843260729,1.149605836816828
81,200.0,3176.470588235294,55437.54630924437,1.1431177402993131
82,200.0,3215.686274509804,54999.02595915713,1.1366516638239224
83,200.0,3254.901960784314,54562.9889159085,1.1302075824228026
84,200.0,3294.117647058824,54129.426722672106,1.123785471099725
85,200.0,3333.3333333333335,53698.33093224327,1.117385304829991
86,200.0,3372.5490196078435,53269.69310704995,1.1110070585603309
87,200.0,3411.764705882353,52843.50481916377,1.1046507072088092
88,200.0,3450.9803921568628,52419.75765031104,1.0983162256647243
89,200.0,3490.196078431373,51998.44319188385,1.0920035887885091
90,200.0,3529.4117647058824,51579.553044951244,1.0857127714116326
91,200.0,3568.6274509803925,51163.078820270275,1.0794437483364976
