,Height,Theta
196,7686.274509803922,200.0
197,7725.490196078432,200.0
198,7764.705882352941,200.0
199,7803.921568627452,200.0
200,7843.137254901962,200.0
201,7882.352941176471,200.0
202,7921.568627450981,200.0
203,7960.78431372549,200.0
204,8000.000000000001,200.0
205,8039.2156862745105,200.0
206,8078.43137254902,200.0
207,8117.64705882353,200.0
208,8156.86274509804,200.0
209,8196.078431372549,200.0
210,8235.29411764706,200.0
211,8274.50980392157,200.0
212,8313.725490196079,200.0
213,8352.94117647059,200.0
214,8392.156862745098,200.0
215,8431.372549019608,200.0
216,8470.588235294119,200.0
217,8509.803921568628,200.0
218,8549.019607843138,200.0
219,8588.235294117647,200.0
220,8627.450980392157,200.0
221,8666.666666666668,200.0
222,8705.882352941177,200.0
223,8745.098039215687,200.0
