,Pressure,Density
1718,51163.118151289214,0.5397221705288473
1719,50955.784538148146,0.5381589987060746
1720,50749.0517632881,0.5365985464378701
1721,50542.918780784166,0.5350408121452723
1722,50337.38454531903,0.5334857942484021
1723,50132.44801218335,0.5319334911664608
1724,49928.1081372761,0.5303839013177288
1725,49724.36387710492,0.5288370231195639
1726,49521.21418878651,0.5272928549883995
1727,49318.65803004692,0.5257513953397434
1728,49116.69435922197,0.5242126425881756
1729,48915.32213525755,0.522676595147347
1730,48714.54031771003,0.5211432514299782
1731,48514.34786674658,0.5196126098478571
1732,48314.74374314557,0.5180846688118371
1733,48115.72690829688,0.5165594267318366
1734,47917.29632420228,0.5150368820168368
1735,47719.45095347581,0.513517033074879
1736,47522.18975934413,0.5119998783130645
1737,47325.511705646866,0.5104854161375522
1738,47129.41575683699,0.5089736449535567
1739,46933.900877981185,0.5074645631653473
1740,46738.96603476018,0.5059581691762455
1741,46544.610193469176,0.5044544613886243
1742,46350.83232101814,0.5029534382039053
1743,46157.631384932225,0.5014550980225579
1744,45965.00635335211,0.49995943924409764
1745,45772.95619503437,0.49846646026708374
1746,45581.47987935185,0.4969761594891182
1747,45390.57637629403,0.49548853530684334
1748,45200.24465646742,0.4940035861159407
1749,45010.48369109585,0.492521310311129
1750,44821.29245202096,0.49104170628616245
1751,44632.66991170247,0.489564772433829
1752,44444.61504321859,0.48809050714594876
1753,44257.12682026642,0.48661890881337194
1754,44070.20421716226,0.4851499758259771
1755,43883.84620884206,0.48368370657267007
1756,43698.0517708617,0.48222009944138106
1757,43512.81987939747,0.480759152819064
1758,43328.14951124641,0.4793008650916939
1759,43144.0396438266,0.47784523464426554
1760,42960.489255177694,0.4763922598607916
1761,42777.49732396115,0.4749419391243006
1762,42595.0628294607,0.47349427081683576
1763,42413.184751582725,0.47204925331945236
1764,42231.86207085657,0.4706068850122164
1765,42051.09376843501,0.46916716427420296
1766,41870.87882609456,0.46773008948349376
1767,41691.2162262359,0.466295659017176
1768,41512.104951884256,0.4648638712513402
1769,41333.54398668974,0.4634347245610781
